case,seeding,percentage,kMeanIterations,Distance,fuzziness,epsilon,nMinPerCluster,dataPareto,population,Evaluations,MOGA
Zeroconf,NONE,0,-,-,-,-,-,FRONT,20,100,NSGAII
Zeroconf,Random,25,-,-,-,-,-,FRONT,20,100,NSGAII
Zeroconf,Random,50,-,-,-,-,-,FRONT,20,100,NSGAII
Zeroconf,Random,75,-,-,-,-,-,FRONT,20,100,NSGAII
Zeroconf,Random,100,-,-,-,-,-,FRONT,20,100,NSGAII
Zeroconf,KMeans,25,1000,Euclidean,-,-,-,FRONT,20,100,NSGAII
Zeroconf,KMeans,50,1000,Euclidean,-,-,-,FRONT,20,100,NSGAII
Zeroconf,KMeans,75,1000,Euclidean,-,-,-,FRONT,20,100,NSGAII
Zeroconf,KMeans,100,1000,Euclidean,-,-,-,FRONT,20,100,NSGAII
Zeroconf,FuzzyKMeans,25,1000,Euclidean,1.05,-,-,FRONT,20,100,NSGAII
Zeroconf,FuzzyKMeans,50,1000,Euclidean,1.05,-,-,FRONT,20,100,NSGAII
Zeroconf,FuzzyKMeans,75,1000,Euclidean,1.05,-,-,FRONT,20,100,NSGAII
Zeroconf,FuzzyKMeans,100,1000,Euclidean,1.05,-,-,FRONT,20,100,NSGAII
Zeroconf,DBSCAN,25,-,-,-,0.2,2,FRONT,20,100,NSGAII
Zeroconf,DBSCAN,50,-,-,-,0.2,2,FRONT,20,100,NSGAII
Zeroconf,DBSCAN,75,-,-,-,0.2,2,FRONT,20,100,NSGAII
Zeroconf,DBSCAN,100,-,-,-,0.2,2,FRONT,20,100,NSGAII
